Regime,Seed,Domain,Tokenizer,Model,Mode,Embedding Dim,Fit Strategy,Val Solved,Val Exec,Val Avg Plan Len,Val Num Problems,Interp Solved,Interp Exec,Interp Avg Plan Len,Interp Num Problems,Extrap Solved,Extrap Exec,Extrap Avg Plan Len,Extrap Num Problems
domain_dependent,13,gripper,shortest_path,lstm,delta,28,domain_specific,100.00%,100.00%,28.00,2,100.00%,100.00%,16.33,3,25.00%,100.00%,280.62,16
domain_dependent,13,logistics,shortest_path,lstm,delta,32,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,118.33,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,shortest_path,lstm,delta,27,domain_specific,100.00%,100.00%,18.83,24,100.00%,100.00%,8.49,37,100.00%,100.00%,61.48,219
domain_dependent,13,blocks,shortest_path,xgboost,state,30,domain_specific,0.00%,100.00%,13.33,3,0.00%,100.00%,14.00,3,0.00%,100.00%,125.00,20
domain_dependent,13,gripper,shortest_path,xgboost,state,28,domain_specific,50.00%,100.00%,87.50,2,100.00%,100.00%,19.00,3,0.00%,100.00%,310.00,16
domain_dependent,13,logistics,shortest_path,xgboost,state,32,domain_specific,0.00%,100.00%,150.00,4,22.22%,100.00%,112.00,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,shortest_path,xgboost,state,27,domain_specific,100.00%,100.00%,19.29,24,100.00%,100.00%,9.19,37,94.98%,100.00%,71.63,219
domain_dependent,13,blocks,shortest_path,xgboost,delta,30,domain_specific,0.00%,100.00%,45.33,3,0.00%,100.00%,26.00,3,0.00%,100.00%,64.20,20
domain_dependent,13,gripper,shortest_path,xgboost,delta,28,domain_specific,0.00%,100.00%,135.00,2,0.00%,100.00%,92.00,3,0.00%,100.00%,310.00,16
domain_dependent,13,logistics,shortest_path,xgboost,delta,32,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,132.11,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,shortest_path,xgboost,delta,27,domain_specific,100.00%,100.00%,18.83,24,100.00%,100.00%,8.51,37,100.00%,100.00%,61.25,219
domain_dependent,13,blocks,graphbpe,lstm,state,84,domain_specific,0.00%,100.00%,100.00,3,33.33%,100.00%,67.33,3,0.00%,100.00%,125.00,20
domain_dependent,13,gripper,graphbpe,lstm,state,58,domain_specific,100.00%,100.00%,39.00,2,100.00%,100.00%,21.00,3,100.00%,100.00%,109.00,16
domain_dependent,13,logistics,graphbpe,lstm,state,102,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,124.67,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,graphbpe,lstm,state,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,13,blocks,graphbpe,lstm,delta,84,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,99.33,3,0.00%,100.00%,117.80,20
domain_dependent,13,gripper,graphbpe,lstm,delta,58,domain_specific,100.00%,100.00%,39.00,2,100.00%,100.00%,21.00,3,100.00%,100.00%,109.00,16
domain_dependent,13,logistics,graphbpe,lstm,delta,102,domain_specific,0.00%,100.00%,150.00,4,11.11%,100.00%,124.67,9,0.00%,100.00%,293.33,18
domain_dependent,13,visitall-from-everywhere,graphbpe,lstm,delta,104,domain_specific,54.17%,100.00%,101.58,24,75.68%,100.00%,21.00,37,9.59%,100.00%,460.56,219
domain_dependent,13,blocks,graphbpe,xgboost,state,84,domain_specific,0.00%,100.00%,100.00,3,0.00%,100.00%,100.00,3,0.00%,100.00%,125.00,20
