Regime,Domain,Tokenizer,Model,Mode,Embedding Dim,Fit Strategy,Num Seeds,Val Solved Mean,Val Solved Std,Val Exec Mean,Val Exec Std,Val Avg Plan Len Mean,Val Avg Plan Len Std,Interp Solved Mean,Interp Solved Std,Interp Exec Mean,Interp Exec Std,Interp Avg Plan Len Mean,Interp Avg Plan Len Std,Extrap Solved Mean,Extrap Solved Std,Extrap Exec Mean,Extrap Exec Std,Extrap Avg Plan Len Mean,Extrap Avg Plan Len Std
domain_dependent,gripper,simhash,xgboost,state,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,135.00,0.00,100.00%,0.00%,100.00%,0.00%,19.00,0.00,43.75%,0.00%,100.00%,0.00%,214.81,0.00
domain_dependent,logistics,simhash,xgboost,state,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,33.33%,0.00%,100.00%,0.00%,115.78,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,simhash,xgboost,state,128,domain_specific,3,62.50%,0.00%,100.00%,0.00%,35.67,0.00,89.19%,0.00%,100.00%,0.00%,13.11,0.00,30.14%,0.00%,100.00%,0.00%,410.17,0.00
domain_dependent,blocks,simhash,xgboost,delta,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,100.00,0.00,0.00%,0.00%,100.00%,0.00%,28.00,0.00,0.00%,0.00%,100.00%,0.00%,118.60,0.00
domain_dependent,gripper,simhash,xgboost,delta,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,135.00,0.00,0.00%,0.00%,100.00%,0.00%,90.00,0.00,81.25%,0.00%,100.00%,0.00%,144.69,0.00
domain_dependent,logistics,simhash,xgboost,delta,128,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,11.11%,0.00%,100.00%,0.00%,123.00,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,simhash,xgboost,delta,128,domain_specific,3,41.67%,0.00%,100.00%,0.00%,110.42,0.00,81.08%,0.00%,100.00%,0.00%,24.54,0.00,11.87%,0.00%,100.00%,0.00%,458.64,0.00
domain_dependent,blocks,shortest_path,lstm,state,30,domain_specific,3,0.00%,0.00%,100.00%,0.00%,71.56,40.23,0.00%,0.00%,100.00%,0.00%,12.22,1.37,0.00%,0.00%,100.00%,0.00%,121.37,5.14
domain_dependent,gripper,shortest_path,lstm,state,28,domain_specific,3,0.00%,0.00%,100.00%,0.00%,135.00,0.00,77.78%,15.71%,100.00%,0.00%,38.56,12.89,0.00%,0.00%,100.00%,0.00%,310.00,0.00
domain_dependent,logistics,shortest_path,lstm,state,32,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,22.22%,0.00%,100.00%,0.00%,112.19,0.10,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,shortest_path,lstm,state,27,domain_specific,3,100.00%,0.00%,100.00%,0.00%,19.29,0.00,100.00%,0.00%,100.00%,0.00%,9.14,0.00,100.00%,0.00%,100.00%,0.00%,61.68,0.00
