family,regime,model,mode,tokenizer_a,tokenizer_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
pairwise::domain_dependent::lstm::delta,domain_dependent,lstm,delta,graphbpe,random,358,0.2355679702048417,0.4329608938547486,0.19739292364990688,0.1461824953445065,0.2467411545623836,45,172,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::lstm::delta
pairwise::domain_dependent::xgboost::state,domain_dependent,xgboost,state,wl,simhash,358,0.3268156424581006,0.3547486033519553,0.027932960893854747,-0.0223463687150838,0.0782122905027933,40,50,0.3370831458427079,Paired sign-flip on per-problem seed-mean solved outcomes,0.3370831458427079,False,pairwise::domain_dependent::xgboost::state
pairwise::domain_dependent::xgboost::state,domain_dependent,xgboost,state,wl,shortest_path,358,0.3268156424581006,0.7681564245810056,0.441340782122905,0.3854748603351955,0.5,11,169,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::state
pairwise::domain_dependent::xgboost::state,domain_dependent,xgboost,state,wl,graphbpe,358,0.3268156424581006,0.23743016759776536,-0.0893854748603352,-0.13966480446927373,-0.03910614525139665,59,27,0.0006499675016249188,Paired sign-flip on per-problem seed-mean solved outcomes,0.0012999350032498376,True,pairwise::domain_dependent::xgboost::state
pairwise::domain_dependent::xgboost::state,domain_dependent,xgboost,state,wl,random,358,0.3268156424581006,0.16201117318435754,-0.164804469273743,-0.21508379888268156,-0.11173184357541899,79,20,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::state
pairwise::domain_dependent::xgboost::state,domain_dependent,xgboost,state,simhash,shortest_path,358,0.3547486033519553,0.7681564245810056,0.4134078212290503,0.3575418994413408,0.4692737430167598,10,158,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::state
pairwise::domain_dependent::xgboost::state,domain_dependent,xgboost,state,simhash,graphbpe,358,0.3547486033519553,0.23743016759776536,-0.11731843575418995,-0.17039106145251395,-0.06424581005586592,69,27,9.99950002499875e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::state
pairwise::domain_dependent::xgboost::state,domain_dependent,xgboost,state,simhash,random,358,0.3547486033519553,0.16201117318435754,-0.19273743016759776,-0.24581005586592178,-0.13966480446927373,87,18,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::state
pairwise::domain_dependent::xgboost::state,domain_dependent,xgboost,state,shortest_path,graphbpe,358,0.7681564245810056,0.23743016759776536,-0.5307262569832403,-0.5894553072625698,-0.4692737430167598,208,18,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::state
pairwise::domain_dependent::xgboost::state,domain_dependent,xgboost,state,shortest_path,random,358,0.7681564245810056,0.16201117318435754,-0.6061452513966481,-0.664804469273743,-0.5446927374301676,234,17,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::state
pairwise::domain_dependent::xgboost::state,domain_dependent,xgboost,state,graphbpe,random,358,0.23743016759776536,0.16201117318435754,-0.07541899441340782,-0.10614525139664804,-0.0446927374301676,30,3,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::state
pairwise::domain_dependent::xgboost::delta,domain_dependent,xgboost,delta,wl,simhash,358,0.8994413407821229,0.22346368715083798,-0.6759776536312849,-0.723463687150838,-0.6284916201117319,242,0,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::delta
pairwise::domain_dependent::xgboost::delta,domain_dependent,xgboost,delta,wl,shortest_path,358,0.8994413407821229,0.7849162011173184,-0.11452513966480447,-0.15083798882681565,-0.08100558659217877,42,1,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::delta
