regime,tokenizer,model,mode,domain,split,embedding_dim,fit_strategy,num_seeds,num_problems,solved_rate_mean,solved_rate_std,exec_rate_mean,exec_rate_std,avg_plan_len_mean,avg_plan_len_std
domain_dependent,wl,xgboost,delta,logistics,test-interpolation,552,domain_specific,3,9,0.2222222222222222,0.0,1.0,0.0,122.55555555555556,0.0
domain_dependent,wl,xgboost,delta,logistics,test-extrapolation,552,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,wl,xgboost,delta,visitall-from-everywhere,validation,138,domain_specific,3,24,1.0,0.0,1.0,0.0,18.833333333333332,0.0
domain_dependent,wl,xgboost,delta,visitall-from-everywhere,test-interpolation,138,domain_specific,3,37,1.0,0.0,1.0,0.0,8.783783783783784,0.0
domain_dependent,wl,xgboost,delta,visitall-from-everywhere,test-extrapolation,138,domain_specific,3,219,1.0,0.0,1.0,0.0,61.21917808219178,0.0
domain_dependent,simhash,lstm,state,blocks,validation,128,domain_specific,3,3,0.0,0.0,1.0,0.0,96.22222222222223,5.342584568965024
domain_dependent,simhash,lstm,state,blocks,test-interpolation,128,domain_specific,3,3,0.1111111111111111,0.15713484026367722,1.0,0.0,48.666666666666664,23.557651898331525
domain_dependent,simhash,lstm,state,blocks,test-extrapolation,128,domain_specific,3,20,0.0,0.0,1.0,0.0,124.83333333333333,0.23570226039551584
domain_dependent,simhash,lstm,state,gripper,validation,128,domain_specific,3,2,0.0,0.0,1.0,0.0,135.0,0.0
domain_dependent,simhash,lstm,state,gripper,test-interpolation,128,domain_specific,3,3,1.0,0.0,1.0,0.0,20.77777777777778,0.31426968052735504
domain_dependent,simhash,lstm,state,gripper,test-extrapolation,128,domain_specific,3,16,0.5,0.0,1.0,0.0,209.54166666666666,1.1195857368787003
domain_dependent,simhash,lstm,state,logistics,validation,128,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,simhash,lstm,state,logistics,test-interpolation,128,domain_specific,3,9,0.25925925925925924,0.05237828008789241,1.0,0.0,112.66666666666667,2.282515398241572
domain_dependent,simhash,lstm,state,logistics,test-extrapolation,128,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,simhash,lstm,state,visitall-from-everywhere,validation,128,domain_specific,3,24,0.8194444444444444,0.01964185503295969,1.0,0.0,41.59722222222222,0.3943074879605118
domain_dependent,simhash,lstm,state,visitall-from-everywhere,test-interpolation,128,domain_specific,3,37,0.954954954954955,0.012740662724081964,1.0,0.0,14.072072072072071,0.3253237853201407
domain_dependent,simhash,lstm,state,visitall-from-everywhere,test-extrapolation,128,domain_specific,3,219,0.3302891933028919,0.004305064116813075,1.0,0.0,406.4094368340944,3.909647124174102
domain_dependent,simhash,lstm,delta,blocks,validation,128,domain_specific,3,3,0.0,0.0,1.0,0.0,100.0,0.0
