regime,seed,tokenizer,model,mode,domain,split,embedding_dim,fit_strategy,result_file,num_problems,solved_rate,exec_rate,avg_plan_len
domain_dependent,13,wl,xgboost,state,gripper,test-extrapolation,302,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_state\gripper_graphs_test-extrapolation_state_results.json,16,0.0,1.0,310.0
domain_dependent,13,wl,xgboost,state,logistics,validation,552,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_state\logistics_graphs_validation_state_results.json,4,0.0,1.0,150.0
domain_dependent,13,wl,xgboost,state,logistics,test-interpolation,552,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_state\logistics_graphs_test-interpolation_state_results.json,9,0.1111111111111111,1.0,121.44444444444444
domain_dependent,13,wl,xgboost,state,logistics,test-extrapolation,552,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_state\logistics_graphs_test-extrapolation_state_results.json,18,0.0,1.0,293.3333333333333
domain_dependent,13,wl,xgboost,state,visitall-from-everywhere,validation,138,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_state\visitall-from-everywhere_graphs_validation_state_results.json,24,1.0,1.0,19.125
domain_dependent,13,wl,xgboost,state,visitall-from-everywhere,test-interpolation,138,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_state\visitall-from-everywhere_graphs_test-interpolation_state_results.json,37,1.0,1.0,8.81081081081081
domain_dependent,13,wl,xgboost,state,visitall-from-everywhere,test-extrapolation,138,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_state\visitall-from-everywhere_graphs_test-extrapolation_state_results.json,219,0.1963470319634703,1.0,392.81278538812785
domain_dependent,13,wl,xgboost,delta,blocks,validation,172,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\blocks_graphs_validation_delta_results.json,3,0.6666666666666666,1.0,44.666666666666664
domain_dependent,13,wl,xgboost,delta,blocks,test-interpolation,172,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\blocks_graphs_test-interpolation_delta_results.json,3,1.0,1.0,12.666666666666666
domain_dependent,13,wl,xgboost,delta,blocks,test-extrapolation,172,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\blocks_graphs_test-extrapolation_delta_results.json,20,0.7,1.0,71.8
domain_dependent,13,wl,xgboost,delta,gripper,validation,302,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\gripper_graphs_validation_delta_results.json,2,1.0,1.0,47.0
domain_dependent,13,wl,xgboost,delta,gripper,test-interpolation,302,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\gripper_graphs_test-interpolation_delta_results.json,3,1.0,1.0,29.0
domain_dependent,13,wl,xgboost,delta,gripper,test-extrapolation,302,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\gripper_graphs_test-extrapolation_delta_results.json,16,1.0,1.0,117.0
domain_dependent,13,wl,xgboost,delta,logistics,validation,552,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\logistics_graphs_validation_delta_results.json,4,0.0,1.0,150.0
domain_dependent,13,wl,xgboost,delta,logistics,test-interpolation,552,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\logistics_graphs_test-interpolation_delta_results.json,9,0.2222222222222222,1.0,122.55555555555556
domain_dependent,13,wl,xgboost,delta,logistics,test-extrapolation,552,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\logistics_graphs_test-extrapolation_delta_results.json,18,0.0,1.0,293.3333333333333
domain_dependent,13,wl,xgboost,delta,visitall-from-everywhere,validation,138,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\visitall-from-everywhere_graphs_validation_delta_results.json,24,1.0,1.0,18.833333333333332
domain_dependent,13,wl,xgboost,delta,visitall-from-everywhere,test-interpolation,138,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\visitall-from-everywhere_graphs_test-interpolation_delta_results.json,37,1.0,1.0,8.783783783783784
domain_dependent,13,wl,xgboost,delta,visitall-from-everywhere,test-extrapolation,138,domain_specific,outputs\domain_dependent\results\seed_13\wl\xgboost_delta\visitall-from-everywhere_graphs_test-extrapolation_delta_results.json,219,1.0,1.0,61.21917808219178
domain_dependent,13,simhash,lstm,state,blocks,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\blocks_simhash_validation_state_results.json,3,0.0,1.0,88.66666666666667
domain_dependent,13,simhash,lstm,state,blocks,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\blocks_simhash_test-interpolation_state_results.json,3,0.0,1.0,38.0
