metric,factor,sum_sq,df,F,p_value,eta_sq
Macro8 interaction,C(tokenizer),0.9985666777735541,4.0,49.30899581108517,1.5472797813965036e-23,0.574843966140339
Macro8 interaction,C(mode),0.02138776315572064,1.0,4.224491553054068,0.04225692136665978,0.012312274055366312
Macro8 interaction,C(model),0.0029853839910633584,1.0,0.5896703344359182,0.44422234149044326,0.0017185932718094398
Macro8 interaction,C(regime),0.005307632303429176,1.0,1.048358711909346,0.3081733391302556,0.0030554398339433697
Macro8 interaction,C(tokenizer):C(mode),0.16207904363145442,4.0,8.003426372395353,1.089067169287594e-05,0.09330389481559145
Macro8 interaction,Residual,0.5467825871607952,108.0,,,0.31476583188295065
