family,winner,winner_macro8,winner_extrap,runner_up,macro_margin,paired_delta,ci_low,ci_high,holm_p_value,significant_0_05
DD / LSTM-S,WL,0.5654410832064941,0.260511796042618,GraphBPE,0.153304631686481,0.24307692307692308,0.20615384615384616,0.28,0.0002499937501562461,True
DD / LSTM-D,WL,0.498896499238965,0.3033485540334855,Shortest path,0.0995830162354136,-0.013333333333333336,-0.036923076923076927,0.010256410256410255,0.5813854653633659,False
DD / XGB-S,WL,0.3967656012176561,0.0990867579908675,Shortest path,0.00026636225266368774,-0.49230769230769234,-0.5507692307692308,-0.4307692307692308,0.0002499937501562461,True
DD / XGB-D,WL,0.7402777777777777,0.6750000000000002,GraphBPE,0.3559191040355424,0.6892307692307692,0.64,0.7384615384615385,0.0002499937501562461,True
AD / LSTM-S,WL,0.5627711187214611,0.2644311263318112,GraphBPE,0.09507911164589244,0.5241025641025642,0.4666666666666666,0.5805128205128206,0.0002499937501562461,True
AD / LSTM-D,WL,0.5198638064434298,0.3267646499238965,GraphBPE,0.09817874381230557,0.5948717948717949,0.5364102564102564,0.6502564102564102,0.0002499937501562461,True
AD / XGB-S,GraphBPE,0.4815808959644576,0.273972602739726,Shortest path,0.04634021864330079,-0.5866666666666667,-0.6471794871794871,-0.5261538461538462,0.0002499937501562461,True
AD / XGB-D,WL,0.5194444444444444,0.4000000000000001,GraphBPE,0.010085770702209063,0.6184615384615385,0.5538461538461539,0.683076923076923,0.0002499937501562461,True
